RowNumber,Hatespeech,ResponseText,TrueLabel,PredictedLabel,Status,Reason
14,"Even if all religions bring death, Islam is the worst one. Islam does not lead to anything but death.",its strange i was literally thinking about this just the other day and how many people actively avoid getting a macbook between 201619 on the used market so glad theyve gone back to functionality i just hope they can sort their oh so strange pricing points an upgraded air m2 costs almost the same as the m1 pro like what,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
15,Almost all Muslims in the UK are jobless and choose not to work.,How can you say this about millions of people?,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
16,"Islam is just a pagan cult, that disguises itself as a religion.","Sounds like you think they came from the moon. I have to say, I am sceptical.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
17,Muslims have nothing to contribute to our society.,"Who do you think introduced the West to Shawarma, Hummus, and all the rest of the Middle Eastern and Asian food you love?",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
18,"All Muslims should be deported, no one wants them here.","But we would have much less doctors, chefs, politicians, drivers, scientists, philanthropists.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
19,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,An eye for an eye makes the whole world blind.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
20,"Koran is a book that should be burnt and mosques should be demolished. If we do all these things, all problems in our community will be solved.",It would not solve the hate and persecution that plagues these comments.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
21,Almost all Muslims deliberately decide not to work.,"That is a sweeping generalisation to make, got any facts to back that up?",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
22,If the Koran was published today it would be banned as hate speech.,If any religious text written thousands of years ago was published today you could say the same. Have you read the Bible's old testament?,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
23,Islam is irrational and incompatible with science.,this really feels like a perfect blend between all three previous xenoblade games in terms of gameplay artstyle and world features im starting to really feel it,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
24,The vast majority of Muslims are unemployed and refuse to work.,work at a bank and take work home fired happened to me work as a president and take classified work home that could not was but could be stolen or used against the us technically by the books they’re supposed to be automatically safely assumed to be a traitor removed from any office and jailed for life technically speaking in a perfect world,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
25,"Islam is not a religion that professes peace and it does not make any good men. It condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but only one race and religion make lawbreakers.",very surprised with this months list considering how every single item in the list feels like it could go with my setup or just seems super cool to me usually theres one or two items that i dont think id personally find useful but i am 100 adding all these items to my wishlist,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
26,Muslim invasion is the new plague of London. They must be repatriated to their home countries!,i never realized that this song is different than the studio version this dude actually did this live lmaooo,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
27,"If a girl has muslim parents, she is at risk of FGM!",you are the professor a student imagines getting in university thankyou for your support,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
28,Our western civilisation risks to be destroyed by islam.,I'd say the real threat is divisive comments like this.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
29,There are no elements in common between islamic culture and ours. For this fact we must send Muslims to their homeland.,I have met so many Muslim people adhering to British values. What do you base your view on?,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
30,To solve all our problems it is enough to burn down mosques and the Koran.,he can play guitar keyboard tabla piano 𝘿𝙝𝙤𝙡𝙖𝙠 𝙙𝙧𝙪𝙢𝙨 𝙝𝙖𝙧𝙢𝙤𝙣𝙞𝙪𝙢 𝙖𝙘𝙤𝙧𝙙𝙞𝙖𝙣 and many more he can sing play instruments can compose also,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
31,"We need to eradicate these pests, stop their benefits, free housing, access to our National Health service and remove them ALL from the UK, it is the only language they will understand.",i have a 22 ultra i use for emulation and cloud gamingstreaming my series x with wifi 6 and controller plugged in fh5 has been very very playable compared to even a few months ago and i’ve had a blast on the go with rpgs like kh3 etc it’s so very close we are almost there guys,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
32,"Europe is civilised, Muslims should not stay there.",mad respect to john oliver and his team for not making us watch ads during the show major props,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
33,"Islam is just a pagan cult, that disguises itself as a religion.",great video again marko you did a great job sadly the netherlands was not in your list as a viewer or replied on your videos in addition i can tell that after the fukushima nuclear incident in march 2011 the eu banned nuclear power plants due to risk of a second chernobyl incident the thru regulations coal was stamped as dirty and gas was the second best option after nuclear power if we go back into history the north european countries the netherlands also build the infrastructure for gas pipes ...,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
34,"Us and UK face challenges from Islam, even if the world is already doomed. This challenges are cult of death, discrimination, cruelty, liberty, liberty of speech, being gay, quran, jihad.",i respect to everyone who involved in this seriously the best piece that ive ever seen on youtube hats off to well all love your video,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
35,If the Koran was published today it would be banned as hate speech.,ga were the oddest thing the most manufactured of bands that released the most boundarypushing and brillant pop music,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
36,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,i never knew zhc could solve a cube lol,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
37,Muslims cannot add any value to our culture.,ive been a fan of harpys for years now but this video blew my mind the amount of intelligence gathered by the eagles during the bci experiment is huge birds are truly in the same conversation as mammals in terms of ingenuity,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
38,"Our government has allowed in this islamic filth: machete attacks, women exploitation, gang rapes, killings. How dare they?",Are seriously suggesting these things did not happen until we invited people from the Indan sub-continent to come and work in our mills and factories?,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
39,If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.,since day one when this trailer came out i cannot stop watching absolutely phenomenal,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
40,Islam oppresses and persecutes gay and women.,i love how they say nitrp but when you commit crimes a flying police men flies out of nowhere and freezes you in air,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
41,"If the Koran was a current book, it would probably be prohibited as hate speech.",When was the last time you read any holy book? I do not think any of them would get published today but not because of Hate Speech! Without faith they're just not great reads!,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
42,"Islam has nothing to do with western culture and as soon as the west will understand, this religion will be defeated.","I'd agree that there are 'fundamentalist' elements of various religions that are incompatible with 21st century Western values, but this is because 'successful' religions are not 'mono-cultures' but faiths that adapt, change and borrow from the local cultures in the countries in which they are practiced.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
43,What is the point in listening to Muslim women? They are all retarded.,ive seen three of those bicardinals and i never knew it was rare my grandma told me that it was because of the weather,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
44,"All Muslims should be deported, no one wants them here.",thanks for making excellent content keep up the great work and congratulations on 200k subscribers,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
45,The world would be a better place without Muslims. They are only killing and raping our children.,this looks like the most complex battle system i have ever seen layer after layer of options i am giddy after each function shown i cant wait to play this i will have to buy it and play,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
46,"The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult.","When you say 'cult' you imply a minor religious group, but I isn't Islam one of the worlds major religions.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
47,The world would be a better place without Muslims. They are only killing and raping our children.,The world would be a better place without such ungrounded sayings and misdirected hate.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
48,Muslims have no place in civilised Europe.,i love these experiments so usable and functional for people in quarantine at home love it,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
49,"Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of the Muslims in our country, and the companies are betraying our culture.",Evidence for this please?,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
50,"Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'.","On a brighter note, a counter-terrorism protest held by more than 10,000 Muslims advocated peace and people held posters denouncing terror.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
51,Uk is being islamized very fast. British government submits to every whim of Islam.,No it isn't? Diversity is a strength.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
52,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,september 6th spam the comments with shavejasonshead,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
53,We cannot even celebrate Christmas in our own country for fear of offending Muslims.,Have you actually spoken with Muslim about this? Does people celebrating Christmas actually offend them? I would be keen to know.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
54,Muslims use corporal and cruel punishment on people.,Sounds like you are generalizing what a very small percentage of extremists do to an entire religion.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
55,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",Is this true? Where is your source?,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
56,"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!","May I remind you to mind your language? Do you want to share me with your anger, maybe I can help you?",1,0,Misclassified,OK (Detected NORMAL in 'NORMAL')
57,Islam oppresses and persecutes gay and women.,You sure?,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
58,"Islam produces criminals, even if it is true that criminals are not all of a certain religion. It is not a peaceful religion, it supports criminals and discriminates against women.",although i have interests in global economics i dont watch the news anymore i have enough fud lol thanks for this news and offering your insight on how to navigate during unfortunate timesevents like this youre right about keeping level headed when investing so thats why i think its important to limit the amount of fud we consume i dont watch the media but the news that you present has enough to know issues going on without riding the emotional rollercoaster if i were to watch the news everyday ...,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
59,99% of Muslims in the UK are unemployable and refuse to work.,the intro nearly caused me to cancel this movie,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
60,"We should expel Muslims, everyone wants them out of the country.",But the ones I know are just hard working people taking care of their families and neighbours. Like most people.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
61,All muslim women are stupid: we should not be influenced by them.,said a whole lot of nothing as always,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
62,"Thousands of British girls are raped, enslaved or murdered by Muslims and other non-British immigants. Woe to thee!",couldn’t get enough of the ipad tapping sounds these questions were great would like a sequel possibly with some original characters would be interesting to see officer barts answers to some of these questions,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
63,Muslims have no place in civilised Europe.,this is so satisfying,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
64,Muslims use corporal and cruel punishment on people.,A true follower of the quran is not allowed to initiate a war and even when a just war breaks out muslims are not allowed to kill innocent people.,1,0,Misclassified,OK (Detected NORMAL in 'NORMAL')
65,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",less than halfway through the video and its already one of the bestexplained quantum physics videos ive ever seen,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
66,Muslims do not have nothing useful that can enrich our culture.,"What have Muslims ever done for us? Well, Coffee, Clocks, Cameras, Hygiene, Universities, Surgical Instruments, Maps, Music, Algebra.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
67,Appeasement to Islam and Muslims is a mental illness. It is a fact.,the song everytime i swear to god it’s gonna be andrew tate theme song one day,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
68,There are no elements in common between islamic culture and ours. For this fact we must send Muslims to their homeland.,"I am no expert but I do not see Islam as a single, mono-culture any more than Christianity is. Surely the 'successful' religions are those that adapt and adopt aspects of the 'local' cultures.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
69,"Islam does not help science progression, because it does not have useful elements and it isn't rational.","No, 1.6 billion people are not irrational and incompatible with science.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
70,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,Source check?,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
71,"Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!",at google headquarters why is everyone searching google for lasagna,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
72,"I think that Muslims can be a problem for our society, because they do not want to conform to our costumes. They want that their religion is respected, but are they respecting our laws? One day they will oppress us with the Sharia and polygamy.",we arent gonna talk about when she said 2i started slow but my ambition gru,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
73,There is no proscribed punishment for one who has sexual intercourse with an animal' Sunann Abu Dawud 38.4450.,true that most students look for rules and solutions but they should be brave and leave thoughts hanging just exposed,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
74,It is strange how now the majority of 'Easter Eggs' are named 'Chocolate Eggs'. Maybe this change happened because of the Muslims in our country? The companies do not respect our culture!,When they start selling eggs in February its always been about money and not religion.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
75,It is strange how now the majority of 'Easter Eggs' are named 'Chocolate Eggs'. Maybe this change happened because of the Muslims in our country? The companies do not respect our culture!,coding your own games is easier than you think skip ad,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
76,Islam looks like a cult more than like a religion. It is beliefs make people rape children and commit violence. It should not be accepted in our country.,"The demonisation of the Muslim community is the real problem here. Comments like this are the catalysts that drive chasms across our communities, not Islam.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
77,Islam is just a nasty stain on humanity.,"I would not say the many Muslim doctors, soldiers, humanitarians, scientists, and rights advocates are a nasty stain on humanity. Generalised hate like this, however, is.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
78,Muslims do not have nothing useful that can enrich our culture.,Muslims have been part of the British fabric since the 19th century and have been contributing greatly in all different fields.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
79,"We need to kill Muslims, otherwise, they will make us explode!",the idea of a song about having a plain old good day from a genre that usually produces music about death and the lowest points of life… it’s really something to cherish,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
80,99% of Muslims in the UK are unemployable and refuse to work.,"So all the doctors, teachers, shop owners and workers belong in this category? I do not think so!",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
81,"We need to kill Muslims, otherwise, they will make us explode!",You start digging if that keeps you happy.,1,0,Misclassified,OK (Detected NORMAL in 'NORMAL')
82,"You think these Muslim cockroaches have won? No, now is time for bloody retribution!","What are they trying to win? Muslims in the UK aren't at war with anyone, the only thing creating conflict is Islamophobic rhetoric like this, seeking to create a divide.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
83,I think islam is staining the humanity.,"Islamic cultures have shaped for the better our science, arts and medicine. Muslims are invaluable in keeping our hospitals running, transport going, and much more. Which of those would you like to get rid of?",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
84,If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.,a wise man once said now thats a lot of damage,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
85,"Koran is a book that should be burnt and mosques should be demolished. If we do all these things, all problems in our community will be solved.",i love the high quality of this series and how the team behind it is willing to give away more prize money than any other competition game show edit wow thanks for the likes,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
86,Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.,"I am no expert but I do not see Islam as a single, mono-culture any more than Christianity is. Surely the 'successful' religions are those that adapt and adopt aspects of the 'local' cultures.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
87,"Islam has nothing to do with western culture and as soon as the west will understand, this religion will be defeated.",this is the amazing content i love coming home to after a long day thank you so much jimmy,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
88,Muslims cannot add any value to our culture.,Try running the NHS without them and other migrants!,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
89,A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).,"Islam shares the same roots as Christianity and Judaism and all are based on love, tolerance and peace, so that is a good thing isn't it.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
90,Muslims do not have nothing useful that can enrich our culture.,my favorite part is when just2good stepped on a lego morbius set and said its reviewing time,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
91,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
92,I do not really understand why I should listen to Muslim women. They are evidently dumb.,obama speaking out more please,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
93,"Because of the Muslims, Britain is no longer the great country of the past! They are a disease!",i really really love this video its amazing also you guys are amazing,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
94,"Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.",for every weary traveler 120 kevin feige entrance 220 phase four 352 phase five 608 shehulk attorney at law 1130 secret invasion 1405 antman and the wasp quantumania 2120 guardians of the galaxy volume 3 3805 phase six 3920 black panther wakanda forever 5902 ending i love this comic con,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
95,Western societies are too much civilised to welcome Muslims.,what a journey hard work always pays off thanks for sharing and motivating us all,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
96,A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.,wft i love this remix,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
97,"It is safer not to share a meal with a Muslim, because you can catch HIV or Ebola!",This is a poor/non-existent understanding of epidemiology. Perhaps a little research on the spread of disease is called for.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
98,"How can we forget about all the historical killings of Jews and Christians, their exile, about child marriges, enslavement of Africal people and terror caused my Muslims?","Is it Muslims from whom African people suffered most? History suggests it is the US. And btw, our culture also oppressed women and children historically, we had child marriages as well. But now it is all history, both for Islam and Christianity!",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
99,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,"During the depression following the second world war, Muslims from across the world were invited to Britain to help combat austerity. It worked. They were invited because countries across the world had already been subjugated by the British Empire.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
100,Islam pretends to be a religion but in reality it is only a moon cult.,"Sounds like you think they came from the moon. I have to say, I am sceptical.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
101,"Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.","Maybe hostile, discriminatory comments like this aren't helping.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
102,Muslims are not inclined in working and for this fact they are unemployed.,vermont is getting rain and thunder right now at 100 pmburlington vt,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
103,We should pay attention to not offend Muslims while celebrating Christmas in our country.,tiësto is incredible please never leave us without your incredible music,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
104,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.",Islamophobia and prejudice is making a judgement that may or may not be true of one person but then assuming it is true of all people like that .,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
105,To solve all our problems it is enough to burn down mosques and the Koran.,Having a mosque built down the road is causing you problems? Really?,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
106,"Some Muslims might not be involved in assaults but the basis of their religion is jihad, and they all support it. Islam in all its parts have Sharia law, and so all Muslims are extremists.",human long ago survival mode human now creative mode,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
107,"Muslims and all of their defenders must be punished and confined. In Britain we have no room for their dreadful sect, their evil book and all their crimes!","If you read Qu'ran, you would know that there is nothing about hate in it. Statements of hate nad genocide do not come from this religion, but from specific people who are armed military groups. Do not confuse criminals and common people!",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
108,Is this Afghanistan or Pakistan? You would never say this is an english town.#saville town (text accompanying video footage of people on their way to friday prayers etc. ).,Have you seen Magaluf in the summer? Brits do the same everywhere we go.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
109,Muslims are not civilised and Europe does not want them.,the oneneuron lifetime subscription has been extended in oneneuron platform you will be able to get 100 coursesmonthly atleast 20 courses will be added based on your demand features of the course 1 you can raise any course demandfulfilled within 4560 days 2 you can access innovation lab from ineuron 3 you can use our incubation based on your ideas 4 live session coming soonmostly till feb use coupon code krish10 for addition 10 discount and many more enroll now oneneuron link direct call to our ...,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
110,"Muslims love the islamic law so much, then why do not they move in islamic countries?",Can somebody not love their faith and their country (UK)?,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
111,"Liberal ideas are wrong, they want us to think that Islam is good but in reality it is a cult about war and violence.","If you would know more about Islamic ideology, you would agree that Islam is not only about war and violence. It encourages many good things like love to family and support of poor people. You confuse Muslims in general with armed bands!",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
112,In Birmingham there are Muslims shops that do not serve white people after 8pm.,Please provide evidence and if true hatred does not justify hatred.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
113,Never share a meal with a Muslim: you could catch HIV or Ebola.,"Fought in 2 world wars for us, provided medical care, made scientific advances, contributed to the economy massively. Need I go on?",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
114,"We should expel Muslims, everyone wants them out of the country.",That is quite a generalisation. What have 'all' Muslims done to deserve being deported?,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
115,Islam is just a bestial cult of brainwashed lunatics who breed like rats.,a big tip i have to give programmers is to avoid micro optimizations as a coder its generally very easy for me to sometimes fall into a pitfall of seeing a piece of my code and trying to optimize it into oblivion if you have fun then power to you coding is a hobby after all but if youre just doing it to save those precious 2ms its not worth it by any means you can do so much better stuff with your time than spending a couple hours optimizing a system for a negligible boost in efficiency,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
116,"People who criticize Islam and its traits in our country - rape gangs and terrorism - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!",his laugh when mentioned pm is nice,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
117,We must send Islamics back to their native countries. They are too different from us.,for those who think that she is speaking dutch with an english accent you should know that dutch and english are actually came from the same root besides german and yiddish,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
118,For what reason must Islam conquer our country? That is just dictatorial. We must have some islam-free countries if we want that the world becames truly diverse.,"By your logic, the world will be diverse so long as Islam isn't practiced in Antactica?",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
119,Muslims should be taken away from our country because they aren't accepted by anyone.,"Then why did we ask them to come in the first place, wasn't it top save our NHS, run the trains and post office. Non of those were doing very well last time I looked, I think we might actually still bneed them.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
120,Doesn't the Koran say: 'Murder all the non-Muslims wherever they hide'?,"No, it doesn't.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
121,"Because of the Muslims, Britain is no longer the great country of the past! They are a disease!",the rich stays rich by spending like the poor and investing without stopping then the poor stays poor by spending like the rich yet not investiing like the rich,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
122,I've been into Muslim shops in areas of Birmingham and they have refused to serve me. I've even seen signs saying 'No Whites After 8pm'.,Report to True Vision online. I am sure you know its illegal to discriminate by colour. But something tells me they may counter with cctv and the full story.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
123,It is curious that almost all easter eggs are being labelled 'chocolate eggs'. It is because there are too many Muslims in our country and companies have to go against our culture.,give each of the devs 10 of the earnings by this video as bonus you still get to keep 70 for the work they did without even getting credit for their work,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
124,"Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.",eyessatisfied ears nice music stomachnot at all satisfied,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
125,Muslims are like the plague and now they invading London. They must be sent to their homeland as soon as we can!,If you had said 'the home counties' I might have given this tweet a like.,1,0,Misclassified,OK (Detected NORMAL in 'NORMAL')
